Price,Close,High,Low,Open,Volume
7/10/2020,92.95796967,93.01612188,91.78049265,92.39103547,90257200
7/13/2020,92.52914429,96.86837944,92.31593673,94.26144459,191649200
7/14/2020,94.0603714,94.25176728,90.97856936,91.91134149,170989200
7/15/2020,94.70723724,96.18272135,93.51037362,95.93317328,153198000
7/16/2020,93.54187775,94.39712579,92.94344589,93.58064343,110577600
7/17/2020,93.35292053,94.14759876,92.8804715,93.99254338,92186800
7/20/2020,95.32022858,95.45832997,93.09609972,93.44014061,90318000
7/21/2020,94.00463867,96.18515864,93.75509057,96.11005243,103433200
7/22/2020,94.26873016,94.94953641,93.6194215,93.70663875,89001600
7/23/2020,89.97793579,94.07973388,89.16872158,94.00220251,197004400
7/24/2020,89.75505066,90.09909153,86.39220293,88.17781282,185438800
7/27/2020,91.88225555,91.97432313,90.5933317,90.81622514,121214000
7/28/2020,90.37285614,91.63028981,90.36800581,91.45342276,103625600
7/29/2020,92.1051712,92.28930638,90.81866492,90.85500544,90329200
